user_id,item_id,class,reviewTime,overall
1854,259,2,2008-08-04,1
14512,6014,2,2011-11-22,1
12324,7405,3,2014-05-14,1
2816,3443,1,2013-10-14,1
11588,5054,2,2013-11-23,1
1703,7230,2,2011-04-17,1
13072,8860,2,2013-07-31,1
8702,1436,2,2014-04-06,0
743,5076,2,2013-07-23,1
8899,8222,2,2013-03-28,1
9150,3586,7,2013-05-02,1
8570,8789,10,2013-06-09,1
14479,3788,2,2013-10-23,1
761,7717,3,2011-03-17,1
943,7971,9,2013-08-23,1
12464,6270,9,2009-11-29,1
5543,5188,9,2013-09-29,0
2993,3342,2,2013-02-06,1
9010,5015,2,2013-09-15,1
16464,10000,4,2014-04-18,1
2650,3553,2,2011-08-11,1
10390,2507,2,2014-02-13,1
26,2360,1,2012-12-29,1
1160,3352,5,2012-12-08,1
12236,3796,4,2014-03-18,1
209,944,2,2005-03-22,1
2256,1372,2,2013-08-07,1
8564,9872,3,2013-09-26,1
4350,5433,2,2014-01-02,1
3179,8509,2,2014-01-29,0
15548,7769,2,2014-01-04,1
4679,6389,9,2013-07-09,1
7132,5612,2,2013-08-25,1
16590,8880,2,2013-01-10,1
10798,6839,2,2013-02-02,1
14873,7678,4,2014-04-07,1
8287,4977,2,2011-07-28,1
11019,3214,4,2014-05-05,1
10789,6901,2,2011-03-10,1
773,4724,2,2013-12-30,1
8027,7151,6,2012-11-04,0
9816,7690,3,2012-12-15,1
2474,5113,2,2012-04-19,1
8451,1886,1,2013-07-31,1
3187,8936,2,2014-02-19,0
992,8738,2,2012-10-24,1
9411,10170,9,2014-06-03,1
5423,5806,3,2013-12-19,0
8502,4743,2,2011-07-06,1
13183,2930,3,2008-06-18,1
16010,7015,2,2014-07-06,1
4617,1780,2,2014-05-05,1
16563,8726,2,2013-12-31,1
3558,6291,2,2013-01-19,1
4988,10043,4,2014-06-28,0
10401,8080,3,2012-11-25,1
440,124,2,2002-01-02,1
6218,7413,2,2013-10-20,1
1684,2767,2,2013-05-06,1
10276,8939,4,2013-12-26,1
1246,7799,2,2013-11-04,1
2707,850,4,2012-12-10,1
11353,7797,2,2013-12-24,1
3976,2342,1,2012-09-05,1
3144,9983,4,2013-11-18,1
5045,666,1,2013-07-03,1
15663,5084,2,2012-05-24,1
11254,9631,4,2014-02-13,1
12158,7448,4,2013-10-20,1
5069,2850,1,2014-01-29,1
5436,2774,1,2012-08-23,1
3852,6022,2,2014-07-06,1
10404,7606,2,2011-08-10,1
21,1499,2,2012-04-15,1
15144,7392,4,2011-05-17,1
2117,8584,7,2014-02-07,1
3829,5722,2,2013-07-19,1
605,3397,2,2014-03-11,1
13492,9418,2,2012-11-20,1
3649,10170,9,2014-05-29,1
14639,9346,3,2012-11-12,1
2838,6561,2,2013-10-11,1
1665,267,5,2001-08-03,1
2379,8106,4,2013-10-28,1
10423,1858,2,2012-09-18,1
3917,3893,9,2011-05-25,1
8479,1365,9,2013-09-16,1
8349,2696,2,2012-08-09,1
15072,5282,1,2013-02-17,1
6550,3928,2,2013-02-01,1
8886,4095,4,2010-08-30,1
855,5326,1,2013-01-01,1
12012,3955,9,2013-04-30,1
12725,2697,5,2012-12-19,1
7336,6166,3,2014-06-10,1
3896,933,2,2014-03-04,1
4290,4539,4,2012-09-30,1
7751,2549,2,2014-01-24,1
2180,6655,2,2014-05-22,1
4686,5604,6,2013-11-10,1
13050,5738,1,2013-12-23,1
6759,8377,2,2012-12-06,1
921,1128,2,2005-12-06,0
6014,8777,2,2014-06-20,1
11068,6691,5,2014-06-03,1
14798,8825,2,2012-11-10,1
1429,8616,2,2013-06-11,1
1622,8236,4,2014-04-11,1
16194,6394,5,2012-12-30,1
10630,5376,5,2012-03-26,1
10216,7200,2,2011-06-02,1
16589,9863,9,2014-02-17,1
6683,2442,2,2013-06-05,1
8668,3572,2,2011-08-24,1
585,577,2,2004-09-08,0
16147,6359,2,2013-06-20,1
10574,7810,6,2012-06-27,1
9359,7695,4,2011-04-17,1
7897,3003,2,2012-03-26,1
3459,461,4,2014-01-03,1
2109,7052,2,2011-09-13,1
10319,1835,2,2014-01-15,1
5506,2860,2,2014-03-02,1
10043,2472,4,2012-06-19,1
7914,4460,2,2009-12-08,1
3771,494,2,2013-08-29,1
6861,7010,4,2012-12-31,1
3945,6918,2,2014-03-25,0
3549,5332,4,2014-05-13,1
13186,4418,10,2013-08-25,1
10438,8367,4,2013-04-30,1
5886,5983,2,2013-12-16,1
14252,4467,1,2013-01-22,0
3378,3901,2,2013-11-09,0
1772,944,2,2010-07-05,1
4856,1908,2,2012-10-19,1
3314,4129,3,2008-02-13,1
12769,2721,2,2012-11-29,1
16544,9485,2,2014-04-24,1
4004,3945,1,2007-10-29,1
7463,8307,4,2012-03-28,1
16584,9157,2,2014-01-22,1
6522,2971,2,2014-06-14,0
10715,7335,2,2013-01-27,1
15195,7613,3,2013-08-23,1
15724,9736,2,2013-10-05,1
3968,521,2,2013-08-12,1
6099,4919,4,2013-02-18,1
804,10039,1,2013-12-28,1
4726,2303,2,2012-05-24,1
3947,8766,2,2014-01-05,1
12137,3726,2,2011-08-13,1
6110,843,2,2008-01-21,1
14389,5988,2,2013-03-25,1
12619,2652,7,2014-06-25,1
16151,9151,9,2013-06-18,1
9800,7823,2,2014-01-19,1
9593,7975,5,2012-10-24,1
5595,2419,4,2013-11-17,1
10835,1948,2,2012-12-14,1
11925,6302,2,2014-01-25,1
3008,417,7,2013-09-13,1
7779,4818,1,2012-10-28,1
12589,6889,1,2014-07-10,1
3014,4129,3,2009-08-03,1
