user_id,item_id,class,reviewTime,overall
7273,7250,16,2014-05-04,1
8233,5091,13,2013-07-14,1
2837,6972,7,2012-04-26,1
4641,5831,18,2011-06-16,1
17759,9368,19,2014-01-21,1
4796,2216,4,2013-08-17,1
8632,3582,4,2008-08-26,1
17676,9235,18,2012-11-20,1
9418,9696,8,2014-03-27,1
12725,11028,18,2013-10-10,1
17901,9357,13,2012-09-30,0
5752,1117,17,2004-12-05,1
12616,9261,17,2013-11-08,1
15364,7524,13,2013-09-13,1
9215,2451,16,2012-08-31,1
982,76,8,2013-01-27,1
17746,8607,8,2014-07-02,1
4527,11324,8,2013-10-23,1
18101,11056,2,2013-09-08,1
7768,11403,16,2013-12-05,1
13667,11412,14,2014-01-06,1
773,3956,9,2011-07-19,1
19103,11463,1,2014-01-03,1
4474,11899,19,2014-07-09,1
13042,6895,2,2013-01-13,1
11153,2918,6,2011-01-09,1
8036,865,5,2005-12-10,1
5869,3908,2,2010-12-20,1
3773,5499,16,2014-01-18,1
291,3281,8,2008-11-29,1
1658,158,12,2013-02-26,1
13435,9660,8,2013-11-21,1
14381,8463,7,2012-09-13,1
9958,2611,19,2014-05-21,1
1795,1899,14,2012-11-26,1
1246,6757,8,2011-09-02,1
11170,8132,18,2012-01-08,1
7544,2417,7,2013-11-20,1
19407,11662,3,2014-04-24,1
12048,4325,19,2012-06-25,1
10902,1765,6,2012-11-27,1
14168,2684,8,2009-01-16,1
8856,6058,2,2013-01-21,1
16119,10765,14,2013-10-02,1
10658,1492,15,2013-04-02,1
18091,11425,12,2013-01-29,1
7740,809,13,2013-09-20,1
1136,104,8,2012-12-25,1
278,22,2,2013-01-02,1
5085,8840,9,2013-05-20,1
5106,536,18,2003-04-15,0
19108,11069,16,2013-10-28,1
5706,9894,13,2013-04-06,1
16562,11597,18,2014-01-15,0
4433,604,18,2005-10-07,1
15930,11513,16,2014-06-18,1
6583,1144,6,2005-01-03,1
14724,8048,13,2013-11-06,1
2269,2624,18,2010-02-18,1
5617,5457,16,2013-05-22,1
16480,4996,2,2014-03-11,1
4678,412,16,2005-05-15,1
14695,10085,2,2014-01-05,1
11510,7384,4,2014-01-03,1
5083,1829,7,2012-03-09,1
14384,2846,19,2013-11-02,1
16417,10479,14,2012-07-06,1
7534,1117,17,2007-03-29,1
7625,4260,18,2014-03-11,1
14007,6551,1,2014-01-13,1
6537,7110,12,2011-12-31,1
2251,3178,1,2011-01-12,1
8060,6757,8,2012-11-24,1
10682,6346,13,2012-11-24,1
11547,7524,13,2013-11-23,1
7605,11061,2,2013-11-05,1
148,8692,19,2012-05-20,1
18982,10911,19,2013-09-20,1
19160,11181,12,2014-01-22,1
3883,1594,1,2013-01-08,1
166,6307,8,2013-09-12,1
14919,6207,8,2012-08-16,1
6286,6362,4,2011-10-11,1
19058,10820,19,2014-07-04,1
5890,694,1,2004-04-08,1
1998,8046,13,2012-11-28,1
309,168,8,2014-06-10,1
13995,2600,1,2011-04-25,1
249,703,13,2012-10-08,1
4708,417,4,2014-05-24,1
7617,782,6,2014-06-01,1
10874,1564,1,2014-02-12,0
12776,5365,18,2011-01-10,1
16364,6221,18,2014-02-09,1
1020,2125,13,2011-01-17,1
6004,3051,14,2013-11-02,1
9667,6000,15,2013-09-23,1
12943,9645,1,2014-05-10,1
6827,9468,1,2013-04-09,0
7849,7249,8,2014-07-03,1
8953,2564,3,2010-08-08,1
16133,7785,7,2012-05-18,1
10655,1491,16,2014-02-11,1
3557,5755,3,2014-06-24,1
19338,10803,10,2014-01-02,1
15756,5423,16,2011-08-19,1
17328,10684,16,2014-05-09,1
12699,4859,1,2014-01-04,1
7165,3933,3,2011-12-26,0
6438,9210,19,2013-01-25,1
1312,2398,2,2011-12-28,1
10490,8898,15,2012-08-28,1
12733,3449,3,2013-03-13,1
9247,1115,6,2010-01-04,1
5594,5141,17,2012-01-31,1
9031,5268,19,2010-10-21,1
3105,11046,14,2013-12-18,1
2077,11624,8,2013-11-13,1
1039,4610,8,2012-12-24,1
8255,11519,19,2013-10-14,1
10934,8886,16,2013-07-18,1
18299,9543,5,2012-10-02,1
4392,9657,8,2013-11-28,1
15290,7380,17,2012-10-26,0
8861,8640,19,2013-12-22,1
12429,2647,7,2013-01-14,1
12721,7020,9,2012-03-10,1
16050,8123,17,2013-01-26,1
7326,6458,8,2014-01-15,1
3897,4035,19,2014-06-28,1
17130,5121,8,2014-01-02,1
2983,7292,9,2013-03-09,1
19011,8910,14,2014-02-05,1
1921,7040,8,2012-04-27,1
3572,594,6,2004-12-23,1
15106,9407,6,2012-12-25,1
473,3692,5,2011-08-22,1
4554,4551,12,2010-01-08,1
6486,1644,1,2008-12-04,1
12006,3392,9,2013-12-27,1
97,10,7,2012-11-02,1
13539,3861,6,2012-08-27,1
15984,8146,5,2013-12-06,1
6255,2296,6,2014-07-05,1
6466,6992,2,2013-05-02,1
5566,2641,4,2008-12-27,1
10845,1561,14,2010-07-13,1
7134,6502,8,2014-01-04,1
11689,8020,4,2014-02-10,1
4209,1245,16,2012-06-14,1
11422,1716,17,2014-01-27,1
399,6606,19,2012-01-02,1
7993,1139,4,2013-07-25,1
12277,7631,14,2013-12-31,1
11875,8533,2,2012-12-05,0
1243,1165,7,2012-06-29,1
3996,8366,2,2014-01-17,1
4906,8492,7,2012-08-01,1
12331,4700,2,2013-08-10,1
17924,10491,19,2013-04-12,1
13033,5162,6,2011-04-08,1
6566,1498,16,2006-01-10,1
5144,2023,18,2011-11-22,0
6312,8872,18,2012-03-27,1
4096,9986,11,2013-09-25,1
8423,6649,7,2012-07-18,1
11510,5859,6,2014-01-03,1
8198,5707,13,2012-05-30,1
8496,2296,6,2014-03-19,1
4032,11109,8,2013-09-27,1
858,2029,16,2014-01-16,1
15838,10189,13,2013-08-19,1
3826,701,13,2014-05-20,0
18596,11820,18,2014-01-23,1
1055,11701,8,2014-07-21,1
8782,3390,8,2008-10-14,1
4599,5089,4,2013-07-19,1
230,7798,8,2013-01-13,1
13685,9644,9,2013-04-19,1
12154,6100,19,2013-02-12,1
19212,10776,14,2013-12-24,1
969,72,8,2012-02-27,1
3633,316,9,2002-03-27,1
18911,8506,7,2012-05-27,1
13978,6836,8,2013-01-17,1
5887,11403,16,2013-08-18,1
2209,5611,18,2013-03-11,1
5399,6171,3,2013-10-14,1
2272,1656,19,2008-01-07,1
8667,10898,4,2013-09-26,1
8174,2611,19,2013-11-19,1
18583,9312,19,2013-10-03,1
4089,7239,14,2014-05-07,1
18658,10501,6,2013-09-26,1
12013,8458,19,2012-12-24,1
6619,8772,7,2012-07-26,1
870,7238,4,2011-09-22,1
2327,9662,1,2014-05-19,1
11691,10271,13,2013-01-03,1
9278,2240,1,2013-12-26,1
6394,5793,8,2014-01-03,1
8594,11301,19,2013-09-19,1
473,283,3,2012-01-05,1
8672,4729,17,2013-09-21,1
9449,2006,2,2010-03-30,1
14804,7641,4,2013-08-18,1
7780,10589,2,2014-03-26,1
1921,8644,2,2013-12-25,1
11542,10761,4,2013-05-31,1
8656,971,16,2014-06-07,1
4951,11200,19,2013-12-27,1
2469,214,6,2012-04-10,1
342,9884,8,2014-02-17,1
1294,342,13,2014-01-30,1
1477,3140,8,2008-11-03,1
199,4969,8,2011-07-25,1
2652,235,6,2010-11-07,1
15780,5876,4,2013-03-13,1
14325,8929,14,2013-11-07,1
12043,7118,2,2013-11-11,1
3227,286,17,2013-11-17,0
